Kanji|JLPT-test|GPT-PT-BR|word1|reading1|translation1|word2|reading2|translation2|word3|reading3|translation3
亜|1|Ásia, Sub-|亜細亜|あじあ|Ásia|亜種|あしゅ|subespécie|亜熱帯|あねったい|subtropical
哀|1|Tristeza, Lamento|哀れ|あわれ|piedade|哀愁|あいしゅう|melancolia|哀音|あいおん|som triste
挨|0|Saudação|挨拶|あいさつ|saudação|挨拶状|あいさつじょう|cartão de saudação|挨拶する|あいさつする|cumprimentar
愛|3|Amor|愛情|あいじょう|afeto|愛する|あいする|amar|愛国|あいこく|patriotismo
曖|0|Ambíguo, Vago|曖昧|あいまい|vago, ambíguo|曖昧さ|あいまいさ|vagueza, ambiguidade|曖昧にする|あいまいにする|tornar vago, tornar ambíguo
悪|4|Mal, Ruim|悪事|あくじ|crime|悪化|あっか|deterioração|悪夢|あくむ|pesadelo
握|1|Aperto|握手|あくしゅ|aperto de mão|握り寿司|にぎりずし|sushi enrolado|握る|にぎる|agarrar
圧|2|Pressão|圧力|あつりょく|pressão|圧縮|あっしゅく|compressão|圧倒|あっとう|domínio
扱|1|Manuseio, Tratamento|扱い|あつかい|tratamento|扱う|あつかう|manipular|扱者|あつかいしゃ|operador
宛|0|Para, Destinatário|宛名|あてな|nome do destinatário|宛先|あてさき|endereço do destinatário|宛てる|あてる|endereçar
嵐|1|Tempestade, Furacão|嵐山|あらしやま|Montanha Arashi|嵐の前の静けさ|あらしのまえのしずけさ|A calma antes da tempestade|嵐|あらし|tempestade
安|4|Seguro, tranquilo|安い|やすい|barato|安心|あんしん|alívio, tranquilidade|安定|あんてい|estabilidade
案|2|Ideia, Proposta|案内|あんない|guia, orientação|提案|ていあん|proposta|案書|あんしょ|documento de proposta
暗|3|Escuro|暗い|くらい|escuro|暗闇|くらやみ|escuridão|暗示|あんじ|sugestão
以|4|Usar, Basear|以上|いじょう|acima de|以外|いがい|exceto|以来|いらい|desde que
衣|2|Roupa|衣服|いふく|vestuário|衣料|いりょう|roupa|衣装|いしょう|fantasia
位|3|Posição, Lugar|地位|ちい|status|位置|いち|localização|位相|いそう|fase
囲|2| Cercar, Envolver|囲む|かこむ|cercar|囲い|かこい|cerca|囲碁|いご|jogo de围棋
医|4|Médico, Medicina|医学|いがく|medicina|医者|いしゃ|médico|医療|いりょう|assistência médica
